workload,dataset_size,polars_lazy_runtime,polars_eager_runtime,polars_lazy_memory,polars_eager_memory,lazy_speedup,lazy_memory_ratio,support_group
filter,1M,0.49243333333333333,0.7009666666666666,647.0799999999999,615.5733333333333,1.4234752589182968,1.0511826373245539,colab_environment
filter,10M,5.060099999999999,4.4934,3319.59,4177.86,0.8880061658860499,0.794567075009694,colab_environment
groupby,1M,0.6224666666666666,0.7064666666666667,581.4166666666666,695.2366666666667,1.1349469851129914,0.8362859649711608,colab_environment
groupby,10M,6.0258666666666665,7.4943333333333335,2508.8566666666666,4955.763333333333,1.2436938531663495,0.5062502984740326,colab_environment
join,1M,0.7307666666666667,0.5867,849.4499999999999,639.1133333333333,0.8028554486156092,1.3291069919784702,colab_environment
join,10M,6.1314666666666655,5.501833333333334,4563.086666666667,3860.7566666666667,0.8973111381724875,1.1819151168121622,colab_environment
pipeline,1M,0.8108,0.7931333333333334,744.8299999999999,739.7266666666666,0.978210820588719,1.006898944655233,colab_environment
pipeline,10M,4.978566666666667,7.194533333333333,2110.7533333333336,5237.383333333333,1.4451013343867378,0.40301677364332705,colab_environment
