workload,dataset_size,colab_lazy_speedup,colab_lazy_memory_ratio,main_lazy_speedup,main_lazy_memory_ratio,speedup_delta_colab_minus_main,memory_ratio_delta_colab_minus_main,runtime_direction_changed,memory_direction_changed
filter,1M,1.4234752589182968,1.0511826373245539,0.8548705966930266,0.9011834939254294,0.5686046622252703,0.14999914339912446,True,True
filter,10M,0.8880061658860499,0.794567075009694,0.4934718182568884,0.7682441560907537,0.39453434762916145,0.02632291891894034,False,False
groupby,1M,1.1349469851129914,0.8362859649711608,0.6966280126115535,1.7111441665996623,0.4383189725014379,-0.8748582016285015,True,True
groupby,10M,1.2436938531663495,0.5062502984740326,0.6880515609516304,0.9199323991812153,0.5556422922147191,-0.4136821007071827,True,False
join,1M,0.8028554486156092,1.3291069919784702,0.17120891841562233,1.0649028842064625,0.6316465301999868,0.26420410777200765,False,False
join,10M,0.8973111381724875,1.1819151168121622,0.3701407903050727,0.9679457777630667,0.5271703478674148,0.21396933904909554,False,True
pipeline,1M,0.978210820588719,1.006898944655233,0.22617785737782808,1.4527010873597521,0.7520329632108909,-0.4458021427045191,True,True
pipeline,10M,1.4451013343867378,0.40301677364332705,0.6391711973971489,1.0766687512422617,0.8059301369895889,-0.6736519775989347,True,True
