workload,dataset_size,polars_lazy_runtime,polars_eager_runtime,polars_lazy_memory,polars_eager_memory,lazy_speedup,lazy_memory_ratio,support_group
filter,5GB,2.6349666666666667,1.1532666666666667,2799.2533333333336,3287.26,0.43767789598856405,0.8515460697764501,physical_scaling
filter,10GB,3.6227666666666667,2.753366666666667,5149.633333333333,6539.639999999999,0.760017666056329,0.787449054280256,physical_scaling
filter,20GB,8.287866666666666,8.020333333333333,9754.466666666667,12039.57,0.9677198796634439,0.8102005857905779,physical_scaling
groupby,5GB,2.0560333333333336,1.7393,2639.4866666666667,3747.183333333333,0.8459493198878097,0.7043921879100303,physical_scaling
groupby,10GB,3.042333333333333,4.062366666666667,3654.2766666666666,7756.95,1.335279938643585,0.4710971021685929,physical_scaling
groupby,20GB,4.890866666666667,14.961766666666668,3627.9300000000003,11675.796666666667,3.0591238090045394,0.3107222662036766,physical_scaling
join,5GB,6.302066666666666,1.7512666666666667,4691.296666666666,4582.3,0.27788767705831957,1.0237864536731915,physical_scaling
join,10GB,9.442300000000001,3.4277333333333337,7978.21,7702.490000000001,0.36301889723195974,1.0357962165481551,physical_scaling
join,20GB,28.766466666666663,11.129133333333334,10645.8,12370.653333333334,0.3868787036758078,0.8605689378841752,physical_scaling
pipeline,5GB,5.434233333333334,2.542866666666667,3526.066666666667,4211.06,0.4679347592730038,0.8373347011599613,physical_scaling
pipeline,10GB,6.450466666666666,4.821766666666666,4291.3533333333335,8114.06,0.7475066403464349,0.5288786789022183,physical_scaling
pipeline,20GB,8.442733333333335,22.98646666666667,4724.21,10123.996666666666,2.7226332704258494,0.46663488299581296,physical_scaling
