framework,workload,dataset_size,mean_time_s,std_time_s,mean_peak_memory_mb,std_peak_memory_mb,mean_throughput_rows_per_s,std_throughput_rows_per_s,mean_n_rows,dataset_size_gb,n_runs,mean_peak_memory_gb,std_peak_memory_gb,mean_throughput_mrows_per_s,memory_per_input_gb,runtime_cv,memory_cv
dask,join,5GB,14.672066666666666,0.9073047852476774,11003.843333333332,280.3714652623081,472610.3333333333,28295.818707599425,6917051.0,5.0,3,10.745940755208332,0.27380025904522276,0.4726103333333333,2.1491881510416664,0.06183892193653774,0.025479412671479462
pandas,pipeline,5GB,18.902966666666668,0.06869791360247722,5759.4766666666665,26.095130452505877,365927.3333333333,1330.9249916254919,6917051.0,5.0,3,5.6244889322916665,0.02548352583252527,0.3659273333333333,1.1248977864583334,0.0036342397896526233,0.00453081624647133
polars_lazy,pipeline,5GB,5.434233333333334,0.05305396623564791,3526.066666666667,9.441643571610621,1272947.6666666667,12416.152477049132,6917051.0,5.0,3,3.443424479166667,0.009220355050400997,1.2729476666666668,0.6886848958333334,0.009762916492786084,0.002677670181583999
polars_eager,pipeline,5GB,2.542866666666667,0.011922387903995264,4211.06,20.540153358726315,2720199.6666666665,12827.088380974657,6917051.0,5.0,3,4.11236328125,0.020058743514381167,2.7201996666666663,0.8224726562500001,0.00468856195265,0.004877668178255906
dask,pipeline,5GB,21.166700000000002,0.11908803466343676,3885.35,140.46516543257275,326796.3333333333,1835.812717390681,6917051.0,5.0,3,3.794287109375,0.13717301311774682,0.3267963333333333,0.7588574218749999,0.005626197501898584,0.036152512754982886
pandas,filter,10GB,28.712933333333336,0.10299754042370775,8794.096666666666,131.39369860588172,481811.3333333333,1729.9451821758196,13834103.0,10.0,3,8.587985026041666,0.12831415879480637,0.4818113333333333,0.8587985026041667,0.0035871479666668587,0.01494112511907212
polars_lazy,filter,10GB,3.6227666666666667,0.09644025784563898,5149.633333333333,29.63553666349482,3820478.3333333335,102118.47208185865,13834103.0,10.0,3,5.028938802083333,0.02894095377294416,3.8204783333333334,0.5028938802083334,0.026620609804377585,0.005754882871303747
polars_eager,filter,10GB,2.753366666666667,0.08543590189922111,6539.639999999999,11.272581780586307,5027578.333333333,153465.04622986095,13834103.0,10.0,3,6.386367187499999,0.011008380645103816,5.027578333333333,0.6386367187499999,0.031029612922078825,0.001723731242176375
dask,filter,10GB,4.7076,0.08208184939436981,9484.33,378.37254670496407,2939260.6666666665,51618.747024054435,13834103.0,10.0,3,9.262041015625,0.36950444014156647,2.9392606666666663,0.9262041015625,0.017436028845774876,0.03989449404491029
pandas,groupby,10GB,31.533200000000004,0.3086860703044446,8639.57,77.52297272421902,438743.0,4271.24794410252,13834103.0,10.0,3,8.437080078125,0.07570602805099513,0.438743,0.8437080078125,0.00978924023900031,0.008973012861082093
polars_lazy,groupby,10GB,3.042333333333333,0.05970270792295236,3654.2766666666666,168.3767698743901,4548407.666666667,89752.22012481559,13834103.0,10.0,3,3.5686295572916666,0.1644304393304591,4.548407666666667,0.35686295572916665,0.019623986388611493,0.04607663437480745
polars_eager,groupby,10GB,4.062366666666667,0.08036767592342886,7756.95,135.3121827478962,3406329.6666666665,67153.86809658342,13834103.0,10.0,3,7.575146484375,0.13214080346474238,3.4063296666666667,0.7575146484374999,0.019783461838360772,0.01744399316070056
