workload,dataset_size,framework,mean_time_s,std_time_s,runtime_rank
filter,5GB,polars_eager,1.1532666666666667,0.053173803073819435,1.0
filter,5GB,dask,2.2589666666666663,0.014819356711184707,2.0
filter,5GB,polars_lazy,2.6349666666666667,0.5389857357419893,3.0
filter,5GB,pandas,13.697166666666666,0.007322112627740444,4.0
filter,10GB,polars_eager,2.753366666666667,0.08543590189922111,1.0
filter,10GB,polars_lazy,3.6227666666666667,0.09644025784563898,2.0
filter,10GB,dask,4.7076,0.08208184939436981,3.0
filter,10GB,pandas,28.712933333333336,0.10299754042370775,4.0
filter,20GB,polars_eager,8.020333333333333,1.290441716364336,1.0
filter,20GB,polars_lazy,8.287866666666666,0.10614077130553332,2.0
filter,20GB,dask,14.954,0.645718855230355,3.0
filter,20GB,pandas,196.3627,5.759176042629719,4.0
groupby,5GB,dask,1.0650666666666666,0.013428824718989263,1.0
groupby,5GB,polars_eager,1.7393,0.0124663547198049,2.0
groupby,5GB,polars_lazy,2.0560333333333336,0.03826151242872312,3.0
groupby,5GB,pandas,15.017066666666667,0.08246558878303983,4.0
groupby,10GB,dask,1.8945333333333334,0.013211484902664522,1.0
groupby,10GB,polars_lazy,3.042333333333333,0.05970270792295236,2.0
groupby,10GB,polars_eager,4.062366666666667,0.08036767592342886,3.0
groupby,10GB,pandas,31.533200000000004,0.3086860703044446,4.0
groupby,20GB,dask,3.759066666666667,0.06706208566196954,1.0
groupby,20GB,polars_lazy,4.890866666666667,0.12579675406517193,2.0
groupby,20GB,polars_eager,14.961766666666668,0.5556312116263208,3.0
groupby,20GB,pandas,135.98706666666666,1.1843571941493563,4.0
join,5GB,polars_eager,1.7512666666666667,0.08340721391662317,1.0
join,5GB,polars_lazy,6.302066666666666,0.03747216744909877,2.0
join,5GB,dask,14.672066666666666,0.9073047852476774,3.0
join,5GB,pandas,23.29443333333333,0.1594325667275475,4.0
join,10GB,polars_eager,3.4277333333333337,0.03944570107544458,1.0
join,10GB,polars_lazy,9.442300000000001,0.09787394954736349,2.0
join,10GB,pandas,44.812466666666666,0.5394635977833289,3.0
join,10GB,dask,62.95336666666666,2.84775598732289,4.0
join,20GB,polars_eager,11.129133333333334,0.7895566625222877,1.0
join,20GB,polars_lazy,28.766466666666663,0.6150626336669568,2.0
join,20GB,dask,120.90436666666666,2.8113388720204706,3.0
join,20GB,pandas,450.7615,9.214309204167185,4.0
pipeline,5GB,polars_eager,2.542866666666667,0.011922387903995264,1.0
pipeline,5GB,polars_lazy,5.434233333333334,0.05305396623564791,2.0
pipeline,5GB,pandas,18.902966666666668,0.06869791360247722,3.0
pipeline,5GB,dask,21.166700000000002,0.11908803466343676,4.0
pipeline,10GB,polars_eager,4.821766666666666,0.07164142191032591,1.0
pipeline,10GB,polars_lazy,6.450466666666666,0.04955000840901372,2.0
pipeline,10GB,dask,24.7833,2.1049737314275436,3.0
pipeline,10GB,pandas,36.522666666666666,0.1532356790481028,4.0
pipeline,20GB,polars_lazy,8.442733333333335,0.43598307688869453,1.0
pipeline,20GB,polars_eager,22.98646666666667,0.28538010325412133,2.0
pipeline,20GB,dask,24.231166666666667,0.6667465060525868,3.0
pipeline,20GB,pandas,248.31726666666668,35.52753187801444,4.0
