workload,framework_group,mean_runtime,std_runtime,mean_memory,mean_throughput,n_runs
filter,polars_lazy,11.532633333333333,14.380328493466342,5510.014444444444,2362680.5555555555,9
filter,polars_eager,18.437277777777776,26.097508624664624,4373.487777777777,3226588.3333333335,9
groupby,polars_lazy,7.886122222222222,8.313874637733267,6179.200000000001,2204102.222222222,9
groupby,polars_eager,27.672833333333333,39.00466086411981,5060.889999999999,2111502.6666666665,9
join,polars_eager,19.370055555555556,25.64856048441662,4954.616666666667,1570685.2222222222,9
join,polars_lazy,36.57161111111111,43.281448386590654,6572.795555555556,567667.7777777778,9
pipeline,polars_lazy,11.172022222222221,7.630112939986173,6788.554444444445,1288952.7777777778,9
pipeline,polars_eager,31.85068888888889,43.40743600457313,5895.824444444444,1181090.5555555555,9
