workload,dataset_size,pandas,polars_lazy,polars_eager,dask
filter,5GB,1.0,5.198231476679021,11.876842592057343,6.06346559636412
filter,10GB,1.0,7.925692150566326,10.428299899516954,6.099272099017193
filter,20GB,1.0,23.69279187245612,24.483109596442375,13.131115420623244
groupby,5GB,1.0,7.303902336213744,8.633971521110025,14.099649474211319
groupby,10GB,1.0,10.364807713377893,7.762273223326305,16.64430994440144
groupby,20GB,1.0,27.804288265201805,9.088971222204151,36.175752846451246
join,5GB,1.0,3.6963165522421217,13.301477026152497,1.5876722661202012
join,10GB,1.0,4.745927016369598,13.073498521860897,0.711835903931005
join,20GB,1.0,15.66968600013442,40.50283939450212,3.7282483042382535
pipeline,5GB,1.0,3.4784974268066025,7.433723094670057,0.8930521369257686
pipeline,10GB,1.0,5.662019285426378,7.574540451978183,1.4736805294963409
pipeline,20GB,1.0,29.411951895515667,10.802759304750332,10.247846093529683
