workload,1M,10M,50M,speedup_change_50M_minus_1M
filter,0.8548705966930266,0.4934718182568884,1.7389673356431545,0.884096738950128
groupby,0.6966280126115535,0.6880515609516304,4.2448536896917455,3.548225677080192
join,0.17120891841562233,0.3701407903050727,0.5672553842623513,0.396046465846729
pipeline,0.22617785737782808,0.6391711973971489,4.229775923992713,4.0035980666148845
