workload,framework_group,runtime_growth_50M_vs_1M,memory_growth_50M_vs_1M
filter,polars_lazy,82.4784327821711,18.076437716698624
filter,polars_eager,167.77662146536318,10.385403574919703
groupby,polars_lazy,30.079570352161596,8.596379484528818
groupby,polars_eager,183.28774163853942,10.85774302484522
join,polars_lazy,17.76560219437314,5.304121652787337
join,polars_eager,58.86161534504299,3.3427135299868644
pipeline,polars_lazy,4.642691618845717,5.147197773200088
pipeline,polars_eager,86.8234647705236,6.5349043304782235
