framework,workload,dataset_size,mean_time_s,std_time_s,mean_peak_memory_mb,std_peak_memory_mb,mean_throughput_rows_per_s,std_throughput_rows_per_s,mean_n_rows,dataset_size_gb,n_runs,mean_peak_memory_gb,std_peak_memory_gb,mean_throughput_mrows_per_s,memory_per_input_gb,runtime_cv,memory_cv,is_pareto
polars_lazy,filter,5GB,2.6349666666666667,0.5389857357419893,2799.2533333333336,60.19786734871346,2710825.3333333335,628713.5659076661,6917051.0,5.0,3,2.7336458333333336,0.05878697983272799,2.7108253333333336,0.5467291666666667,0.20455125393439105,0.021504972998292446,True
polars_eager,filter,5GB,1.1532666666666667,0.053173803073819435,3287.26,63.830258498615144,6006113.333333333,272626.6781889355,6917051.0,5.0,3,3.21021484375,0.06233423681505385,6.006113333333333,0.64204296875,0.046107118683582374,0.01941746576133775,True
polars_lazy,filter,10GB,3.6227666666666667,0.09644025784563898,5149.633333333333,29.63553666349482,3820478.3333333335,102118.47208185865,13834103.0,10.0,3,5.028938802083333,0.02894095377294416,3.8204783333333334,0.5028938802083334,0.026620609804377585,0.005754882871303747,True
polars_eager,filter,10GB,2.753366666666667,0.08543590189922111,6539.639999999999,11.272581780586307,5027578.333333333,153465.04622986095,13834103.0,10.0,3,6.386367187499999,0.011008380645103816,5.027578333333333,0.6386367187499999,0.031029612922078825,0.001723731242176375,True
polars_lazy,filter,20GB,8.287866666666666,0.10614077130553332,9754.466666666667,25.42475630823845,3338768.6666666665,42492.5944646045,27668206.0,20.0,3,9.525846354166667,0.02482886358226411,3.3387686666666667,0.47629231770833336,0.012806766273451953,0.0026064732370372325,True
polars_eager,filter,20GB,8.020333333333333,1.290441716364336,12039.57,438.116517378653,3511593.3333333335,578965.9902415109,27668206.0,20.0,3,11.757392578125,0.4278481615025908,3.5115933333333333,0.5878696289062499,0.16089626985964872,0.03638971469733994,True
dask,groupby,5GB,1.0650666666666666,0.013428824718989263,2362.83,19.5300563235235,6495157.666666667,81225.87273358976,6917051.0,5.0,3,2.307451171875,0.019072320628440918,6.495157666666667,0.461490234375,0.012608435827794126,0.008265535956257328,True
polars_lazy,groupby,10GB,3.042333333333333,0.05970270792295236,3654.2766666666666,168.3767698743901,4548407.666666667,89752.22012481559,13834103.0,10.0,3,3.5686295572916666,0.1644304393304591,4.548407666666667,0.35686295572916665,0.019623986388611493,0.04607663437480745,True
dask,groupby,10GB,1.8945333333333334,0.013211484902664522,4239.913333333333,53.00786199549423,7302364.0,50921.03748943063,13834103.0,10.0,3,4.140540364583333,0.051765490229974835,7.302364,0.4140540364583333,0.006973477146173827,0.012502109790489642,True
polars_lazy,groupby,20GB,4.890866666666667,0.12579675406517193,3627.9300000000003,156.82830771260626,5659570.0,143553.68710346663,27668206.0,20.0,3,3.5429003906250003,0.15315264425059205,5.65957,0.17714501953125,0.025720749028496366,0.04322804125564888,True
dask,groupby,20GB,3.759066666666667,0.06706208566196954,5513.886666666666,390.9891950339971,7361888.333333333,132688.5851621509,27668206.0,20.0,3,5.384654947916666,0.38182538577538777,7.361888333333333,0.2692327473958333,0.017840089471314564,0.07090990777842074,True
polars_eager,join,5GB,1.7512666666666667,0.08340721391662317,4582.3,73.83661490073841,3955662.6666666665,188010.6203232502,6917051.0,5.0,3,4.47490234375,0.07210606923900235,3.9556626666666665,0.89498046875,0.047626792369307835,0.016113439735665147,True
polars_eager,join,10GB,3.4277333333333337,0.03944570107544458,7702.490000000001,59.76650901633805,4036282.6666666665,46787.15751499903,13834103.0,10.0,3,7.521962890625001,0.058365731461267625,4.036282666666667,0.7521962890625,0.011507809167023274,0.007759375087320859,True
polars_lazy,join,20GB,28.766466666666663,0.6150626336669568,10645.8,723.9958320322023,962117.3333333334,20786.777584159925,27668206.0,20.0,3,10.3962890625,0.7070271797189476,0.9621173333333334,0.519814453125,0.021381236729350037,0.06800764921679933,True
polars_eager,join,20GB,11.129133333333334,0.7895566625222877,12370.653333333334,294.8462491423843,2494716.3333333335,182104.76083928542,27668206.0,20.0,3,12.080716145833334,0.28793579017810966,2.4947163333333333,0.6040358072916667,0.07094502679354676,0.023834331235190836,True
polars_lazy,pipeline,5GB,5.434233333333334,0.05305396623564791,3526.066666666667,9.441643571610621,1272947.6666666667,12416.152477049132,6917051.0,5.0,3,3.443424479166667,0.009220355050400997,1.2729476666666668,0.6886848958333334,0.009762916492786084,0.002677670181583999,True
polars_eager,pipeline,5GB,2.542866666666667,0.011922387903995264,4211.06,20.540153358726315,2720199.6666666665,12827.088380974657,6917051.0,5.0,3,4.11236328125,0.020058743514381167,2.7201996666666663,0.8224726562500001,0.00468856195265,0.004877668178255906,True
polars_lazy,pipeline,10GB,6.450466666666666,0.04955000840901372,4291.3533333333335,58.00520177823104,2144759.6666666665,16406.442586171284,13834103.0,10.0,3,4.1907747395833335,0.05664570486155375,2.1447596666666664,0.41907747395833334,0.007681616070518989,0.013516762026485283,True
polars_eager,pipeline,10GB,4.821766666666666,0.07164142191032591,8114.06,42.54262450766289,2869507.3333333335,42544.46265183441,13834103.0,10.0,3,7.92388671875,0.041545531745764544,2.8695073333333334,0.7923886718750001,0.014857919692711368,0.005243074922746799,True
dask,pipeline,10GB,24.7833,2.1049737314275436,3858.5466666666666,519.0617772802515,561021.0,49783.05754973272,13834103.0,10.0,3,3.7681119791666666,0.5068962668752456,0.561021,0.3768111979166667,0.08493516728714673,0.13452261229968748,True
polars_lazy,pipeline,20GB,8.442733333333335,0.43598307688869453,4724.21,7.045785974609781,3282858.6666666665,165431.55776433146,27668206.0,20.0,3,4.613486328125,0.006880650365829864,3.2828586666666664,0.23067431640625,0.05164003879731222,0.0014914209941153719,True
dask,pipeline,20GB,24.231166666666667,0.6667465060525868,4460.493333333333,425.73743320658735,1142421.6666666667,31489.094069746297,27668206.0,20.0,3,4.355950520833333,0.41575921211580796,1.1424216666666667,0.21779752604166663,0.027516071150209584,0.09544626600493833,True
