workload,mean_lazy_speedup,min_lazy_speedup,max_lazy_speedup,mean_lazy_memory_ratio,min_lazy_memory_ratio,max_lazy_memory_ratio,n_points,support_group,runtime_reading,memory_reading
filter,0.7218051472361123,0.43767789598856405,0.9677198796634439,0.8163985699490947,0.787449054280256,0.8515460697764501,3,physical_scaling,Eager faster,Lazy lower memory
groupby,1.7467843558453113,0.8459493198878097,3.0591238090045394,0.49540385209409993,0.3107222662036766,0.7043921879100303,3,physical_scaling,Lazy faster,Lazy lower memory
join,0.3425950926553624,0.27788767705831957,0.3868787036758078,0.9733838693685074,0.8605689378841752,1.0357962165481551,3,physical_scaling,Eager faster,Similar
pipeline,1.3126915566817627,0.4679347592730038,2.7226332704258494,0.6109494210193308,0.46663488299581296,0.8373347011599613,3,physical_scaling,Lazy faster,Lazy lower memory
