workload,dataset_size,polars_lazy_runtime,polars_eager_runtime,polars_lazy_memory,polars_eager_memory,lazy_speedup,lazy_memory_ratio,support_group
filter,10GB,3.6227666666666667,2.753366666666667,5149.633333333333,6539.639999999999,0.760017666056329,0.787449054280256,physical_scaling
filter,20GB,8.287866666666666,8.020333333333333,9754.466666666667,12039.57,0.9677198796634439,0.8102005857905779,physical_scaling
filter,5GB,2.6349666666666667,1.1532666666666667,2799.2533333333336,3287.26,0.43767789598856405,0.8515460697764501,physical_scaling
groupby,10GB,3.042333333333333,4.062366666666667,3654.2766666666666,7756.95,1.335279938643585,0.4710971021685929,physical_scaling
groupby,20GB,4.890866666666667,14.961766666666668,3627.9300000000003,11675.796666666667,3.0591238090045394,0.3107222662036766,physical_scaling
groupby,5GB,2.0560333333333336,1.7393,2639.4866666666667,3747.183333333333,0.8459493198878097,0.7043921879100303,physical_scaling
join,10GB,9.442300000000001,3.4277333333333337,7978.21,7702.490000000001,0.36301889723195974,1.0357962165481551,physical_scaling
join,20GB,28.766466666666663,11.129133333333334,10645.8,12370.653333333334,0.3868787036758078,0.8605689378841752,physical_scaling
join,5GB,6.302066666666666,1.7512666666666667,4691.296666666666,4582.3,0.27788767705831957,1.0237864536731915,physical_scaling
pipeline,10GB,6.450466666666666,4.821766666666666,4291.3533333333335,8114.06,0.7475066403464349,0.5288786789022183,physical_scaling
pipeline,20GB,8.442733333333335,22.98646666666667,4724.21,10123.996666666666,2.7226332704258494,0.46663488299581296,physical_scaling
pipeline,5GB,5.434233333333334,2.542866666666667,3526.066666666667,4211.06,0.4679347592730038,0.8373347011599613,physical_scaling
filter,10M_highuid,4.910799999999999,2.5773333333333333,3727.7466666666664,4608.863333333334,0.5248296272162039,0.8088212639558994,synthetic_stress
filter,10M_skewed,2.4144,1.8907666666666667,3864.01,4625.123333333333,0.7831207201237023,0.8354393432391354,synthetic_stress
groupby,10M_highuid,6.969033333333333,4.071133333333333,2997.75,5335.433333333333,0.5841747540309273,0.5618568938480474,synthetic_stress
groupby,10M_skewed,0.6236666666666667,2.6735333333333333,1176.9866666666667,5328.64,4.286798503474078,0.2208793738489871,synthetic_stress
join,10M_highuid,21.8827,4.539466666666667,5819.420000000001,5734.213333333333,0.20744545539017886,1.0148593471699694,synthetic_stress
join,10M_skewed,7.5641,2.8174000000000006,6117.653333333333,5793.983333333334,0.372469956769477,1.0558631223769483,synthetic_stress
pipeline,10M_highuid,9.916266666666667,6.7856,3683.66,5760.893333333333,0.6842897864787822,0.6394251354535292,synthetic_stress
pipeline,10M_skewed,5.106166666666667,4.3807,2247.26,5822.366666666666,0.8579234259229037,0.3859701953959158,synthetic_stress
filter,10M,5.060099999999999,4.4934,3319.59,4177.86,0.8880061658860499,0.794567075009694,colab_environment
filter,1M,0.49243333333333333,0.7009666666666666,647.0799999999999,615.5733333333333,1.4234752589182968,1.0511826373245539,colab_environment
groupby,10M,6.0258666666666665,7.4943333333333335,2508.8566666666666,4955.763333333333,1.2436938531663495,0.5062502984740326,colab_environment
groupby,1M,0.6224666666666666,0.7064666666666667,581.4166666666666,695.2366666666667,1.1349469851129914,0.8362859649711608,colab_environment
join,10M,6.1314666666666655,5.501833333333334,4563.086666666667,3860.7566666666667,0.8973111381724875,1.1819151168121622,colab_environment
join,1M,0.7307666666666667,0.5867,849.4499999999999,639.1133333333333,0.8028554486156092,1.3291069919784702,colab_environment
pipeline,10M,4.978566666666667,7.194533333333333,2110.7533333333336,5237.383333333333,1.4451013343867378,0.40301677364332705,colab_environment
pipeline,1M,0.8108,0.7931333333333334,744.8299999999999,739.7266666666666,0.978210820588719,1.006898944655233,colab_environment
