workload,mean_lazy_speedup,min_lazy_speedup,max_lazy_speedup,mean_lazy_memory_ratio,min_lazy_memory_ratio,max_lazy_memory_ratio,n_points,support_group,runtime_reading,memory_reading
filter,1.1557407124021735,0.8880061658860499,1.4234752589182968,0.922874856167124,0.794567075009694,1.0511826373245539,2,colab_environment,Lazy faster,Lazy lower memory
groupby,1.1893204191396705,1.1349469851129914,1.2436938531663495,0.6712681317225967,0.5062502984740326,0.8362859649711608,2,colab_environment,Lazy faster,Lazy lower memory
join,0.8500832933940483,0.8028554486156092,0.8973111381724875,1.255511054395316,1.1819151168121622,1.3291069919784702,2,colab_environment,Eager faster,Eager lower memory
pipeline,1.2116560774877283,0.978210820588719,1.4451013343867378,0.70495785914928,0.40301677364332705,1.006898944655233,2,colab_environment,Lazy faster,Lazy lower memory
