framework,workload,dataset_size,dataset_size_gb,mean_time_s,std_time_s,runtime_cv,mean_peak_memory_gb,std_peak_memory_gb,memory_cv,n_runs
polars_lazy,groupby,20GB,20.0,4.890866666666667,0.12579675406517193,0.025720749028496366,3.5429003906250003,0.15315264425059205,0.04322804125564888,3
dask,groupby,20GB,20.0,3.759066666666667,0.06706208566196954,0.017840089471314564,5.384654947916666,0.38182538577538777,0.07090990777842074,3
pandas,groupby,20GB,20.0,135.98706666666666,1.1843571941493563,0.008709337021383575,11.606546223958333,0.08901688613431323,0.007669541344742487,3
dask,join,5GB,5.0,14.672066666666666,0.9073047852476774,0.06183892193653774,10.745940755208332,0.27380025904522276,0.025479412671479462,3
polars_eager,join,5GB,5.0,1.7512666666666667,0.08340721391662317,0.047626792369307835,4.47490234375,0.07210606923900235,0.016113439735665147,3
pandas,join,5GB,5.0,23.29443333333333,0.1594325667275475,0.006844234605158064,6.278004557291666,0.10354769934126618,0.01649372796663542,3
polars_lazy,join,5GB,5.0,6.302066666666666,0.03747216744909877,0.005946012543361243,4.581344401041666,0.036415775128122316,0.007948709361348694,3
dask,join,10GB,10.0,62.95336666666666,2.84775598732289,0.04523596017352882,9.563616536458333,0.21460032937106663,0.022439244458722196,3
pandas,join,10GB,10.0,44.812466666666666,0.5394635977833289,0.012038248235609932,10.862063802083334,0.10858897963916178,0.00999708541744475,3
polars_eager,join,10GB,10.0,3.4277333333333337,0.03944570107544458,0.011507809167023274,7.521962890625001,0.058365731461267625,0.007759375087320859,3
polars_lazy,join,10GB,10.0,9.442300000000001,0.09787394954736349,0.01036547764287975,7.791220703125,0.02744756207366768,0.0035228833990877282,3
polars_eager,join,20GB,20.0,11.129133333333334,0.7895566625222877,0.07094502679354676,12.080716145833334,0.28793579017810966,0.023834331235190836,3
dask,join,20GB,20.0,120.90436666666666,2.8113388720204706,0.02325258342216317,11.210113932291668,0.6756468383713201,0.06027118390162504,3
polars_lazy,join,20GB,20.0,28.766466666666663,0.6150626336669568,0.021381236729350037,10.3962890625,0.7070271797189476,0.06800764921679933,3
pandas,join,20GB,20.0,450.7615,9.214309204167185,0.020441650860082736,11.635970052083332,0.1913872490203442,0.0164478980406174,3
polars_lazy,pipeline,5GB,5.0,5.434233333333334,0.05305396623564791,0.009762916492786084,3.443424479166667,0.009220355050400997,0.002677670181583999,3
dask,pipeline,5GB,5.0,21.166700000000002,0.11908803466343676,0.005626197501898584,3.794287109375,0.13717301311774682,0.036152512754982886,3
polars_eager,pipeline,5GB,5.0,2.542866666666667,0.011922387903995264,0.00468856195265,4.11236328125,0.020058743514381167,0.004877668178255906,3
pandas,pipeline,5GB,5.0,18.902966666666668,0.06869791360247722,0.0036342397896526233,5.6244889322916665,0.02548352583252527,0.00453081624647133,3
dask,pipeline,10GB,10.0,24.7833,2.1049737314275436,0.08493516728714673,3.7681119791666666,0.5068962668752456,0.13452261229968748,3
polars_eager,pipeline,10GB,10.0,4.821766666666666,0.07164142191032591,0.014857919692711368,7.92388671875,0.041545531745764544,0.005243074922746799,3
polars_lazy,pipeline,10GB,10.0,6.450466666666666,0.04955000840901372,0.007681616070518989,4.1907747395833335,0.05664570486155375,0.013516762026485283,3
pandas,pipeline,10GB,10.0,36.522666666666666,0.1532356790481028,0.004195632275338679,9.304075520833335,0.06739833404602597,0.007243958187474957,3
pandas,pipeline,20GB,20.0,248.31726666666668,35.52753187801444,0.14307314330141,11.392685546875,0.23542287418879754,0.020664387972454287,3
polars_lazy,pipeline,20GB,20.0,8.442733333333335,0.43598307688869453,0.05164003879731222,4.613486328125,0.006880650365829864,0.0014914209941153719,3
dask,pipeline,20GB,20.0,24.231166666666667,0.6667465060525868,0.027516071150209584,4.355950520833333,0.41575921211580796,0.09544626600493833,3
polars_eager,pipeline,20GB,20.0,22.98646666666667,0.28538010325412133,0.012415135714092116,9.886715494791666,0.2658730729115001,0.026891951432360155,3
