workload,mean_lazy_speedup,min_lazy_speedup,max_lazy_speedup,n_dataset_sizes,overall_faster_mode
groupby,1.876511087751643,0.6880515609516304,4.2448536896917455,3,Lazy
pipeline,1.698374992922563,0.22617785737782808,4.229775923992713,3,Lazy
filter,1.02910325019769,0.4934718182568884,1.7389673356431545,3,Similar
join,0.3695350309943488,0.17120891841562233,0.5672553842623513,3,Eager
