workload,mean_lazy_memory_ratio,min_lazy_memory_ratio,max_lazy_memory_ratio,n_dataset_sizes,overall_lower_memory_mode
filter,1.0793310996925716,0.7682441560907537,1.5685656490615318,3,Eager
pipeline,1.2245284959863099,1.0766687512422617,1.4527010873597521,3,Eager
join,1.2408686397430455,0.9679457777630667,1.6897572572596073,3,Eager
groupby,1.3286124547167408,0.9199323991812153,1.7111441665996623,3,Eager
