framework,workload,dataset_size,mean_time_s,std_time_s,mean_peak_memory_mb,std_peak_memory_mb,mean_throughput_rows_per_s,std_throughput_rows_per_s,mean_n_rows,row_count_m,n_runs,mean_peak_memory_gb,std_peak_memory_gb,mean_throughput_mrows_per_s,std_throughput_mrows_per_s,memory_per_million_rows_gb,runtime_cv,memory_cv
pandas,filter,1M,2.0523333333333333,0.045019144075974266,1356.3333333333333,13.806716964337703,487402.6666666667,10562.018383497221,1000000.0,1.0,3,1.3245442708333333,0.013483122035486038,0.4874026666666667,0.010562018383497221,1.3245442708333333,0.02193559074677973,0.010179442342839299
polars_lazy,filter,1M,0.37093333333333334,0.002902297940138673,688.36,16.612609668562012,2696172.0,20903.45423608261,1000000.0,1.0,3,0.6722265625,0.01622325162945509,2.696172,0.02090345423608261,0.6722265625,0.007824311484917343,0.024133606933235532
polars_eager,filter,1M,0.3171,0.00814063879557372,763.84,63.88567053729653,3155034.0,79804.98668629675,1000000.0,1.0,3,0.7459375,0.06238835013407864,3.155034,0.07980498668629675,0.7459375,0.02567215009641665,0.08363750332176441
dask,filter,1M,0.6915999999999999,0.011720494870098267,1006.8433333333332,36.850586607723514,1446202.3333333333,24508.97203746685,1000000.0,1.0,3,0.9832454427083333,0.035986900984104994,1.4462023333333331,0.02450897203746685,0.9832454427083333,0.016946927226862737,0.03660011978797448
pandas,groupby,1M,2.6339333333333332,0.0666175902696378,1381.78,8.835513567416552,379822.3333333333,9739.419404324546,1000000.0,1.0,3,1.34939453125,0.008628431218180226,0.3798223333333333,0.009739419404324547,1.34939453125,0.025292056342721077,0.006394298345189938
polars_lazy,groupby,1M,0.6237666666666667,0.005971878543082862,1418.7666666666667,79.26085687988332,1603227.0,15189.745488322047,1000000.0,1.0,3,1.3855143229166667,0.07740318054676106,1.603227,0.015189745488322047,1.3855143229166667,0.009573898161304219,0.0558660269810986
polars_eager,groupby,1M,0.4345333333333334,0.00040414518843273357,829.1333333333333,32.7679299519108,2301325.6666666665,2169.588056137165,1000000.0,1.0,3,0.8097005208333333,0.03199993159366289,2.3013256666666666,0.002169588056137165,0.8097005208333333,0.0009300671719071806,0.039520700271662136
dask,groupby,1M,0.3179666666666667,0.01980715358988598,720.9033333333333,0.011547005383782014,3152860.0,190188.14263512855,1000000.0,1.0,3,0.7040071614583333,1.1276372445099623e-05,3.15286,0.19018814263512854,0.7040071614583333,0.06229317619211442,1.601741155834395e-05
pandas,join,1M,14.169533333333334,2.6113836836691267,2845.41,66.79625438600588,72408.33333333333,14929.72552772935,1000000.0,1.0,3,2.778720703125,0.06523071717383387,0.07240833333333332,0.01492972552772935,2.778720703125,0.1842956731345511,0.023475089490093127
polars_lazy,join,1M,5.2984,1.5175837077406968,2261.9566666666665,64.30697499753295,198121.0,49241.85326528643,1000000.0,1.0,3,2.2089420572916665,0.06279978027102827,0.198121,0.049241853265286434,2.2089420572916665,0.28642301595589176,0.028429799715084265
polars_eager,join,1M,0.9071333333333333,0.04536698505888759,2124.096666666667,69.39963568588323,1104291.6666666667,56780.0103586934,1000000.0,1.0,3,2.074313151041667,0.06777308172449534,1.1042916666666667,0.0567800103586934,2.074313151041667,0.05001137472501755,0.03267254112064104
dask,join,1M,8.0048,1.6837133722816364,4128.196666666667,52.30763073714289,128401.66666666667,24881.57150047668,1000000.0,1.0,3,4.031442057291667,0.0510816706417411,0.12840166666666666,0.02488157150047668,4.031442057291667,0.2103379687539522,0.012670818510053918
pandas,pipeline,1M,6.578800000000001,1.2556153829895527,2270.3866666666668,17.05932101032548,155402.33333333334,26716.637219779994,1000000.0,1.0,3,2.2171744791666668,0.016659493174145976,0.15540233333333334,0.026716637219779994,2.2171744791666668,0.19085781342943278,0.007513839497380246
polars_lazy,pipeline,1M,4.559833333333334,0.29728372530855635,2349.56,171.02527561737776,219948.33333333334,14786.992741370146,1000000.0,1.0,3,2.2944921875,0.16701687072009547,0.21994833333333336,0.014786992741370146,2.2944921875,0.06519618231117139,0.0727903418586364
polars_eager,pipeline,1M,1.0313333333333332,0.02951090194035644,1617.3733333333332,26.33544443014646,970163.3333333334,27988.598934804373,1000000.0,1.0,3,1.5794661458333332,0.025718207451314902,0.9701633333333334,0.027988598934804373,1.5794661458333332,0.028614319916312,0.016282848175733368
dask,pipeline,1M,20.621666666666666,0.36077256455186957,2411.0099999999998,101.9900333365961,48502.666666666664,853.8719654218261,1000000.0,1.0,3,2.3545019531249998,0.09959964193026963,0.048502666666666666,0.0008538719654218261,2.3545019531249998,0.01749483057715362,0.04230178777217685
pandas,filter,10M,31.5136,3.6558622074689837,6576.446666666667,13.882047159311183,320402.6666666667,39822.49737690158,10000000.0,10.0,3,6.422311197916667,0.013556686679014827,0.32040266666666667,0.03982249737690158,0.6422311197916667,0.11600903125853548,0.0021108735253147623
polars_lazy,filter,10M,3.6329666666666665,0.14908408142163712,3398.5866666666666,17.769137101540316,2755600.0,111115.61088793959,10000000.0,10.0,3,3.3189322916666666,0.017352672950722965,2.7556,0.11111561088793959,0.33189322916666664,0.041036457281460645,0.005228390164599888
polars_eager,filter,10M,1.7927666666666668,0.07472143824454486,4423.836666666667,109.25607366793527,5584166.333333333,227493.06513019986,10000000.0,10.0,3,4.320152994791667,0.10669538444134304,5.584166333333333,0.22749306513019985,0.4320152994791667,0.04167939957489068,0.024697130997437804
dask,filter,10M,6.198,0.17067363592541168,6401.856666666667,201.7030426972617,1614246.0,44839.889874976274,10000000.0,10.0,3,6.251813151041667,0.19697562763404464,1.614246,0.04483988987497627,0.6251813151041666,0.027536888661731474,0.03150696012103703
pandas,groupby,10M,27.274833333333333,4.652513924034333,6374.743333333333,58.02900079557943,373233.3333333333,57995.5025353978,10000000.0,10.0,3,6.225335286458333,0.056668946089433035,0.3732333333333333,0.0579955025353978,0.6225335286458333,0.17057900472478293,0.009102954858142696
polars_lazy,groupby,10M,4.271966666666667,0.14683631476352632,4922.576666666667,270.2229258100306,2342671.0,79857.2294786139,10000000.0,10.0,3,4.807203776041667,0.263889575986358,2.342671,0.0798572294786139,0.4807203776041667,0.03437206472355269,0.0548946098980745
